49697,18359,38
49698,11,38
49699,32,38
49700,7,38
49701,69,38
49702,70,38
49703,113,38
49704,144,38
49705,158,38
49706,18378,38
49707,18379,38
49708,18382,38
49709,8822,38
49710,13745,38
49711,16457,38
49712,9709,38
49713,9706,38
49714,9701,38
49715,6390,38
49716,6536,38
49717,8111,38
49718,8116,38
49719,8117,38
49720,3681,38
49721,3834,38
49722,6638,38
49723,7506,38
49724,3334,38
49725,3341,38
49726,3343,38
49727,3354,38
49728,3357,38
49729,38202,38
49730,38210,38
49731,38224,38
49732,38227,38
49733,38241,38
49734,38247,38
49735,38248,38
49736,38251,38
49737,38260,38
49738,38262,38
49739,38274,38
49740,38279,38
49741,38283,38
49742,38288,38
49743,30622,38
49744,30623,38
49745,30624,38
49746,30627,38
49747,30634,38
49748,30637,38
49749,34290,38
49750,34294,38
49751,34295,38
49752,34305,38
49753,34308,38
49754,34313,38
49755,34357,38
49756,35198,38
49757,35199,38
49758,35205,38
49759,37636,38
49760,37641,38
49761,37644,38
49762,39998,38
49763,40000,38
49764,40001,38
49765,40002,38
49766,40009,38
49767,40015,38
49768,40020,38
49769,40026,38
49770,40027,38
49771,40028,38
49772,40031,38
49773,40032,38
49774,40034,38
49775,40036,38
49776,40038,38
49777,40704,38
49778,40707,38
49779,38929,38
49780,38933,38
49781,38934,38
49782,38936,38
49783,38944,38
49784,38950,38
49785,38967,38
49786,38976,38
49787,38980,38
49788,38992,38
49789,38993,38
49790,38996,38
49791,38997,38
49792,39000,38
49793,39019,38
49794,39028,38
49795,39030,38
49796,39036,38
