2,California,661
3,Claremont,2
4,Scripps College,3
5,Pomona College,3
10,The Village,3
12,Millikan/Andrew,5
15,Smith Campus Center,5
18,Frank,5
24,Death Valley,2
66,Dante's View,24
68,Badwater,24
70,Stovepipe Wells,24
73,Johnson Canyon,24
114,Washington DC,661
134,New Mexico,661
135,Canada,1
136,Ontario,135
137,Ottawa,136
167,Walker,5
195,Harwood-Wig-Lyon,5
199,Racetrack,24
215,San Francisco,2
233,Maryland,661
282,Mountain View,2
283,Sunnyvale,2
293,Saline Valley,24
295,Rhyolite,24
305,Kyrgyzstan,1
311,Osh,305
337,Palo Alto,2
374,Ibex Spring,24
383,Chrisi and Soo's house,283
461,Ballarat,24
465,"Goler Wash, Mengel Pass",24
481,Nilda house,282
485,San Francisco Bay,215
487,Los Altos,2
530,Greenwater Valley,24
649,Owlshead Mountains,24
661,United States,1
667,Barker Ranch,465
670,Death Valley Junction,24
695,Sharpsburg,233
696,West Virginia,661
697,Harpers Ferry,696
